ID,Kode_Crypto,Nama_Aset,Harga_Aset,Market_Cap_Miliar,Volume_Trading,Perubahan_Harga_24J,Volatilitas,ROI_Tahunan
83,BNB,Binance Coin,82255.53,999.13,24951549060,21.28,86.91,51.21
84,LINK,Chainlink,21917.75,2457.41,64448019231,-15.65,37.57,74.74
85,LINK,Chainlink,52652.02,168.15,68201111451,-1.22,9.4,40.11
86,DOGE,Dogecoin,83665.7,2450.77,62034976699,-24.13,8.53,116.05
87,ADA,Cardano,38437.96,596.55,76023520215,16.7,90.72,46.65
88,LTC,Litecoin,98661.28,1738.27,32924387134,-23.04,16.78,42.83
89,ATOM,Cosmos,81260.53,1172.77,47306827174,31.76,91.41,17.68
90,UNI,Uniswap,42775.33,777.59,47552701281,-12.65,9.36,58.18
91,DOT,Polkadot,1206.41,1215.68,53346361229,17.26,10.96,6.38
92,ADA,Cardano,27466.29,1745.26,67591372548,-17.98,11.81,51.35
93,DOGE,Dogecoin,12301.57,643.64,15859806389,-2.91,22.67,101.17
94,DOGE,Dogecoin,98174.04,1636.96,58972580787,31.97,71.46,38.05
95,ETH,Ethereum,112341.75,2366.78,53226720843,24.99,73.04,31.49
96,ETH,Ethereum,39973.81,464.39,60246347649,-1.49,34.89,95.53
97,LTC,Litecoin,34440.46,1757.62,43602248641,11.3,38.54,54.82
98,ATOM,Cosmos,4135.25,1177.8,26439606387,-5.19,70.12,58.14
99,ATOM,Cosmos,37458.69,1941.63,60976159855,3.94,35.77,67.7
100,AVAX,Avalanche,96899.27,674.92,9851223119,14.08,85.57,117.66
101,UNI,Uniswap,104585.4,2110.96,78954391915,8.83,54.33,12.64
102,BTC,Bitcoin,19321.6,1041.19,62317682935,15.62,30.36,12.91
103,XRP,Ripple,20996.28,1301.16,77666450293,-1.87,10.88,45.21
104,LINK,Chainlink,112476.38,2471.22,19705909193,-16.62,94.93,22.6
105,BNB,Binance Coin,19237.18,671.3,82601840448,23.99,32.59,62.33
106,BTC,Bitcoin,90019.06,773.43,82429194833,1.84,21.82,88.04
107,MATIC,Polygon,79897.23,404.02,13055609833,-10.4,37.31,-8.3
108,UNI,Uniswap,55419.84,430.93,77229197154,6.45,61.36,13.19
109,ETH,Ethereum,49734.06,390.28,41541503249,-14.75,76.13,61.47
110,TRX,TRON,47977.69,57.34,40749456901,0.99,72.47,2.36
111,MATIC,Polygon,17245.25,572.84,63526187759,5.35,97.01,62.26
112,LTC,Litecoin,23681.09,1324.06,65423630258,28.77,16.04,22.37
113,BNB,Binance Coin,84095.02,1247.62,89190967943,30.55,42.68,57.35
114,LTC,Litecoin,27808.91,1551.41,35512872091,8.7,29.74,115.15
115,MATIC,Polygon,24517.28,476.15,12439017675,-0.4,33.13,48.36
116,BNB,Binance Coin,55789.85,1262.39,74888322831,-6.39,75.74,69.2
117,BNB,Binance Coin,31808.01,319.0,63274593436,26.04,15.82,49.31
118,ADA,Cardano,44729.68,311.93,51431194964,32.6,70.3,17.44
119,DOT,Polkadot,11072.21,23.97,50310853690,-2.55,46.87,34.24
120,BNB,Binance Coin,28832.78,1621.95,27198188325,18.27,75.29,94.24
121,LINK,Chainlink,65808.45,1842.3,49085216816,-2.34,29.03,60.23
122,ATOM,Cosmos,105603.38,1919.95,2802636837,17.41,26.48,46.47
123,LINK,Chainlink,71736.78,387.76,49818620288,1.69,71.33,24.85
124,TRX,TRON,449.03,1166.17,7165152550,-10.75,29.14,92.48
125,BNB,Binance Coin,58983.73,1674.64,30749496638,6.84,21.1,18.71
126,DOGE,Dogecoin,65647.49,141.65,58254864108,-9.42,77.66,72.48
127,LTC,Litecoin,16214.8,581.24,63433318139,34.98,33.1,-7.08
128,ADA,Cardano,20152.7,1044.21,74979433323,19.59,62.58,-12.25
129,BNB,Binance Coin,55716.51,1070.63,69162584030,4.66,89.58,66.96
130,MATIC,Polygon,109514.38,934.29,20810883272,31.87,25.66,76.41
131,ETH,Ethereum,8688.42,1345.12,75078235556,12.59,32.07,110.55
132,ADA,Cardano,96076.97,2014.7,28557648908,5.98,24.86,6.95
133,LINK,Chainlink,81316.33,2204.39,35646276722,26.65,31.69,55.44
134,DOGE,Dogecoin,38489.8,618.91,87498577441,-11.04,38.92,66.37
135,ATOM,Cosmos,6740.94,1878.67,83194270425,20.47,57.51,70.74
136,DOGE,Dogecoin,114655.79,1934.12,87356560684,-18.62,64.09,95.29
137,ATOM,Cosmos,98172.05,1605.09,61186923417,10.3,33.85,62.44
138,XRP,Ripple,110705.45,1459.2,67114652935,-2.85,59.35,2.15
139,AVAX,Avalanche,62907.6,1614.84,86519999601,1.09,9.6,30.49
140,LINK,Chainlink,59162.2,528.16,1412065091,-12.43,26.23,102.15
141,BNB,Binance Coin,31451.72,1089.09,81255862766,5.83,40.2,6.65
142,BTC,Bitcoin,7661.79,2426.39,84637429329,28.92,93.9,73.54
143,SOL,Solana,6447.28,1246.56,27220260536,15.32,41.95,114.81
144,ETH,Ethereum,64507.89,778.12,54867187406,33.73,69.45,97.55
145,DOGE,Dogecoin,20969.73,564.42,79818543302,15.88,22.21,41.24
146,ADA,Cardano,93279.53,2457.75,15958379712,-23.89,6.71,110.81
147,BTC,Bitcoin,48170.48,410.13,16974004109,-17.06,65.21,103.27
148,SOL,Solana,22767.6,616.51,4394814532,-20.8,25.22,26.14
149,BNB,Binance Coin,83081.69,1839.02,79366737982,34.18,62.85,-3.9
150,ETH,Ethereum,55365.41,1650.62,12351936408,-16.44,46.95,54.67
151,ATOM,Cosmos,66692.27,623.46,22529183676,-19.89,95.25,87.38
152,XRP,Ripple,11396.96,588.23,37287184733,-2.64,38.74,103.0
153,SOL,Solana,61691.3,780.2,12042367454,17.14,70.89,-8.96
154,LINK,Chainlink,83006.19,1629.14,53758681557,-10.29,84.15,108.0
155,ATOM,Cosmos,74184.59,1389.71,6381164796,-20.57,76.45,97.11
156,ETH,Ethereum,108027.4,977.48,71724349150,18.04,5.98,56.92
157,LINK,Chainlink,24439.66,868.09,21065777126,-17.24,69.96,103.2
158,BNB,Binance Coin,74765.5,1448.2,41645431078,26.3,10.86,111.39
159,AVAX,Avalanche,2187.77,225.8,72375083815,-20.37,43.22,82.06
160,LINK,Chainlink,55576.14,307.93,84160159292,-6.44,73.86,106.31
161,UNI,Uniswap,59762.56,1607.34,81332905373,31.46,20.74,88.9
162,LTC,Litecoin,77759.1,787.19,64827351648,27.52,28.07,35.32
163,TRX,TRON,46712.8,806.54,38434711617,15.13,56.18,56.86
164,BTC,Bitcoin,87054.52,269.73,20114272346,-16.67,87.4,-0.57
165,LINK,Chainlink,118183.17,1807.04,38125481763,-16.59,28.05,-6.12
166,ATOM,Cosmos,70092.17,704.59,43538642799,30.65,45.64,-8.94
167,UNI,Uniswap,117375.83,1417.69,53793066023,-2.74,76.82,68.34
168,XRP,Ripple,103590.01,559.25,28096292387,2.42,24.52,102.12
169,BNB,Binance Coin,61468.8,1711.57,43515167879,-13.93,12.53,29.91
170,SOL,Solana,50161.53,1824.55,683092797,-7.6,62.4,100.21
171,SOL,Solana,52567.0,428.43,39927804246,-7.04,93.76,-12.18
172,UNI,Uniswap,28329.33,2427.47,31964650772,-24.99,8.71,21.05
173,BNB,Binance Coin,105032.56,1058.82,81110790295,-21.15,76.16,96.19
174,BTC,Bitcoin,97551.72,370.27,22099738954,32.76,56.48,56.7
175,DOT,Polkadot,100545.64,17.08,12367208645,-10.47,93.01,73.62
176,LTC,Litecoin,100539.22,1279.99,14976510362,-23.51,69.46,118.45
177,XRP,Ripple,25502.81,1587.77,88479433142,-4.41,51.87,-17.35
178,BNB,Binance Coin,20799.62,2258.73,24851853831,4.97,42.43,-0.51
179,MATIC,Polygon,59645.02,2449.38,62437596509,18.17,82.85,92.35
180,LTC,Litecoin,27087.68,1462.32,45965220980,27.81,87.75,31.95
181,TRX,TRON,2758.98,743.82,58672001190,-22.87,84.14,78.85
182,UNI,Uniswap,71705.35,1883.3,68527711046,2.24,24.21,33.41
183,MATIC,Polygon,66199.36,942.07,86346024620,-13.59,9.1,53.54
184,ATOM,Cosmos,76982.19,2022.94,28963540727,-14.59,43.35,85.62
185,TRX,TRON,81119.72,1461.79,38677657737,8.56,45.46,-8.54
186,ADA,Cardano,80019.32,1017.79,80101781909,26.22,57.86,113.88
187,LTC,Litecoin,114976.76,970.34,24809997981,31.55,90.29,74.07
188,ADA,Cardano,24832.37,1835.02,3584996596,29.42,97.19,64.97
189,UNI,Uniswap,111939.01,555.12,50093112906,10.35,29.73,2.71
190,DOT,Polkadot,20242.3,1192.75,76687161114,-22.63,31.72,34.49
191,LINK,Chainlink,7690.05,150.61,11722559144,31.59,89.35,55.75
192,BTC,Bitcoin,63912.09,2251.62,72794434377,16.26,47.75,-13.74
193,XRP,Ripple,31825.47,840.34,36144969446,12.45,56.92,105.21
194,SOL,Solana,112138.48,1147.08,31827642391,-23.84,90.74,38.16
195,AVAX,Avalanche,6283.83,845.96,25906175917,3.85,88.22,31.19
196,ADA,Cardano,44527.65,2162.47,51470065851,27.17,95.3,-13.44
197,LINK,Chainlink,80760.03,2261.3,47147138258,-9.74,52.65,26.88
198,LINK,Chainlink,88057.19,625.67,76706970474,27.74,25.9,108.22
199,LINK,Chainlink,59173.14,1534.65,66546996153,26.24,59.53,70.25
200,UNI,Uniswap,45484.56,351.22,42384561295,32.43,89.96,-10.39
201,XRP,Ripple,14137.39,444.58,49366620995,-16.33,67.65,30.57
202,ETH,Ethereum,75687.95,1660.85,48168049905,-20.36,15.3,109.57
203,LINK,Chainlink,51796.96,1766.03,69468256998,29.6,27.22,118.75
204,DOT,Polkadot,19191.0,116.71,2961416137,34.6,55.89,2.07
205,ETH,Ethereum,29477.57,91.34,33937111543,3.69,40.45,5.78
206,BTC,Bitcoin,16753.69,2316.38,72410114128,-17.58,30.36,101.47
207,LTC,Litecoin,76104.95,1340.29,73091559006,18.87,13.24,1.61
208,UNI,Uniswap,90487.25,1098.32,58087367325,2.25,9.86,-10.83
209,BNB,Binance Coin,2149.21,973.89,26584101919,6.04,85.23,-8.5
210,XRP,Ripple,72108.5,1002.6,76363834764,28.65,50.02,117.66
211,BNB,Binance Coin,50498.52,1860.38,13893075259,10.93,44.43,50.25
212,DOGE,Dogecoin,39215.71,334.22,86340377825,-21.31,76.93,94.08
213,TRX,TRON,9929.0,1298.06,49555398355,-5.98,50.59,59.18
214,ETH,Ethereum,66530.02,2246.69,56626898414,-0.62,72.09,82.48
215,DOT,Polkadot,33892.58,1913.6,72226587497,4.03,25.99,45.7
216,LINK,Chainlink,45265.81,690.92,26791655263,21.17,91.13,79.05
217,ADA,Cardano,68992.3,2185.35,59580275341,18.45,49.41,5.83
218,UNI,Uniswap,39896.87,8.33,38855722462,-19.4,53.04,25.67
219,UNI,Uniswap,33587.48,2319.12,21024841860,29.61,11.6,115.74
220,ADA,Cardano,61878.26,480.62,54179120003,25.82,50.87,107.31
221,DOT,Polkadot,10289.39,2116.0,54883495983,-8.68,81.9,119.56
222,BTC,Bitcoin,11587.19,558.84,7725383141,24.0,26.45,33.12
223,UNI,Uniswap,77918.24,163.27,46423923592,0.67,31.96,-18.37
224,LINK,Chainlink,65697.99,433.46,36767657300,18.37,38.12,27.45
225,MATIC,Polygon,55906.34,1295.82,40474264570,-22.01,67.19,15.44
226,BNB,Binance Coin,40757.73,943.03,20513278992,-14.76,36.61,6.6
227,ATOM,Cosmos,49609.29,1321.06,75402971846,25.56,53.0,30.01
228,ATOM,Cosmos,44019.55,2207.2,32344898913,-21.84,77.37,32.39
229,BTC,Bitcoin,20975.46,2029.76,17369147412,13.59,11.27,-2.47
230,SOL,Solana,85886.33,401.66,33281791727,7.15,51.95,-17.88
231,DOT,Polkadot,96420.41,429.52,52019221355,15.99,25.65,7.68
232,BNB,Binance Coin,101136.32,2235.72,87942138766,-2.81,78.87,13.74
233,TRX,TRON,11225.6,1409.25,49034672845,-4.84,8.49,78.34
234,LINK,Chainlink,105699.1,2275.86,75432969853,30.19,49.83,-15.12
235,AVAX,Avalanche,82805.21,1988.3,43028529383,-3.19,47.01,57.2
236,ATOM,Cosmos,15144.21,1024.64,63859047293,-24.44,74.31,43.84
237,DOT,Polkadot,116547.51,2421.08,87707367574,20.39,59.79,72.12
238,TRX,TRON,73814.17,2148.51,48683875450,17.94,32.35,53.86
239,ADA,Cardano,65414.48,1306.09,54369439122,20.01,74.95,2.25
240,MATIC,Polygon,3538.7,2458.41,46477469367,23.83,77.36,91.2
241,TRX,TRON,32829.84,2116.1,39006799639,-5.67,58.39,16.67
242,ATOM,Cosmos,19026.75,1342.43,50817204387,-24.73,29.09,-10.99
243,LTC,Litecoin,115742.97,362.82,85453041799,-0.04,13.03,67.26
244,XRP,Ripple,19511.61,336.98,65512667338,-20.01,38.25,-17.55
245,BTC,Bitcoin,56761.76,812.0,15587011831,10.04,60.6,70.26
246,UNI,Uniswap,28809.95,176.28,42666907855,10.72,45.38,116.2
247,SOL,Solana,31658.19,442.13,70320315202,33.06,30.49,77.43
248,XRP,Ripple,27117.26,215.0,18472212481,29.51,59.28,-8.95
249,ETH,Ethereum,77269.47,1865.58,53564356569,-20.58,22.7,59.53
250,ADA,Cardano,48363.8,1370.83,66403587346,28.0,74.52,83.38
251,SOL,Solana,51201.77,1933.2,50335651033,1.16,11.91,35.06
252,XRP,Ripple,26347.34,1779.04,71476128957,3.12,51.12,104.86
253,AVAX,Avalanche,63731.13,1285.4,81578455993,-18.41,40.09,119.31
254,XRP,Ripple,4444.04,60.5,15851443726,-6.47,23.82,98.16
255,BNB,Binance Coin,72993.27,1260.54,87888645846,-19.84,34.8,-4.6
256,ETH,Ethereum,111001.43,1102.48,9336394354,-20.46,88.67,-15.14
257,ADA,Cardano,89104.2,1873.93,16605021286,-13.46,11.66,49.61
258,ATOM,Cosmos,11179.53,538.65,45539996371,20.56,41.8,65.77
259,UNI,Uniswap,23890.85,206.26,82626518669,-11.38,11.98,69.02
260,BTC,Bitcoin,50744.07,1729.98,56480064650,-7.75,42.28,27.55
261,SOL,Solana,92563.25,462.84,37625099989,-1.82,34.23,26.71
262,DOGE,Dogecoin,103592.19,1677.25,36905104946,34.9,41.91,113.31
263,UNI,Uniswap,19439.23,293.39,17374928653,7.04,20.63,27.69
264,SOL,Solana,57903.52,658.46,31261770400,29.09,46.73,97.0
265,AVAX,Avalanche,96719.68,1878.96,16252738045,-9.0,83.08,-3.08
266,MATIC,Polygon,103190.82,1315.49,5305923995,9.79,21.77,12.22
267,TRX,TRON,50611.94,1820.37,67413722737,-24.25,79.91,55.33
268,TRX,TRON,76151.51,2251.46,74117412169,31.41,71.78,29.55
269,ADA,Cardano,84434.79,1031.81,37070566964,-2.5,51.22,60.88
270,XRP,Ripple,101904.63,1737.63,34972897101,-17.96,44.59,78.22
271,ATOM,Cosmos,63660.48,1837.46,22822931256,13.73,57.38,11.91
272,UNI,Uniswap,86156.02,1521.21,3194361722,9.72,6.17,106.36
273,ATOM,Cosmos,81661.45,544.91,58333282393,2.21,7.71,41.91
274,LINK,Chainlink,35855.54,1402.87,77299719355,20.27,43.24,89.24
275,DOGE,Dogecoin,119591.32,1700.96,34175012686,-8.76,91.97,108.33
276,ATOM,Cosmos,1150.27,1326.75,4586583411,21.51,85.46,65.0
277,TRX,TRON,7580.33,216.89,54393521302,19.18,82.52,36.05
278,MATIC,Polygon,22269.9,1335.82,43208441611,17.99,31.43,-18.38
279,ATOM,Cosmos,78478.39,348.71,3565409435,27.01,78.74,100.74
280,ATOM,Cosmos,34796.23,158.03,48893469968,-12.23,17.84,8.96
281,TRX,TRON,92479.68,1292.74,76306752109,24.49,8.1,59.37
282,ADA,Cardano,113040.42,1794.22,56023199331,-17.96,66.61,86.47
283,SOL,Solana,81646.98,975.05,75786545944,-11.48,75.29,42.21
284,LTC,Litecoin,98208.33,1962.19,87299016185,-8.51,20.06,64.8
285,SOL,Solana,117869.86,55.05,63294214854,-19.34,70.76,8.69
286,UNI,Uniswap,11391.48,2373.0,70041217455,-5.01,22.88,58.37
287,LINK,Chainlink,16142.86,554.22,679624528,5.87,65.46,-1.8
288,SOL,Solana,15623.9,821.74,82666433018,28.53,12.08,79.0
289,DOT,Polkadot,77919.42,127.41,16025714309,11.4,97.25,85.97
290,XRP,Ripple,116315.86,2054.59,63946128870,0.28,24.82,75.96
291,BTC,Bitcoin,57842.79,926.46,54025703175,-18.5,79.23,15.36
292,TRX,TRON,61460.5,1965.04,4140110332,34.77,43.1,5.43
293,SOL,Solana,29339.21,391.25,19342717931,22.53,43.15,79.29
294,ADA,Cardano,9307.72,1431.25,14837521744,-12.19,31.77,90.69
295,BNB,Binance Coin,15714.93,2360.25,80722108646,15.21,77.4,110.38
296,TRX,TRON,24783.75,1323.46,60515392980,-17.16,18.35,35.59
297,LTC,Litecoin,104110.3,2371.75,60219455707,-21.45,25.41,117.69
298,BTC,Bitcoin,67349.59,1803.85,30358932761,5.33,18.9,62.71
299,AVAX,Avalanche,15802.78,1789.06,88533217520,-0.5,17.4,24.85
300,LINK,Chainlink,28494.96,1274.97,78585887201,9.31,17.8,4.6
