Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated,PER,PriceToBook,Volatilitas,ROI_Tahunan,DividendYield
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558.0,Utama,Consumer Non-Cyclicals,50.0,109593527900.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-07-10,2023-01-06,1.0,50.0,0.2748,0.4563,0.0005
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516.0,Pengembangan,Financials,358.0,1790555800728.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2005-12-23,2023-01-06,1.0,358.0,0.1753,0.0759,0.0329
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3873500000.0,Utama,Properties & Real Estate,710.0,2750185000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-03-13,2023-01-06,1.0,710.0,0.5485,0.3474,0.0766
AMAR,Bank Amar Indonesia Tbk.,2020-01-09,13681871000.0,Pengembangan,Financials,224.0,3064739104000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-01-09,2023-01-06,1.0,224.0,0.4929,0.101,0.0184
AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434000000.0,Utama,Industrials,5250.0,2278500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,5250.0,0.3229,-0.264,0.0213
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000.0,Pengembangan,Industrials,171.0,184680000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-12-10,2023-01-06,1.0,171.0,0.189,-0.0495,0.0584
AMMS,Agung Menjangan Mas Tbk.,2022-08-04,1200000000.0,Akselerasi,Consumer Non-Cyclicals,41.0,49200000000.0,2022-08-04 09:00:00,2023-01-06 15:59:00,2022-08-04 09:00:00,2023-01-06 15:00:00,2022-08-04,2023-01-06,1.0,41.0,0.2029,0.4626,0.0545
AMOR,Ashmore Asset Management Indon,2020-01-14,2222222400.0,Pengembangan,Financials,1320.0,2933333568000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-01-14,2023-01-06,1.0,1320.0,0.7793,0.0827,0.0255
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700.0,Utama,Consumer Non-Cyclicals,2800.0,116268604760000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-01-15,2023-01-06,1.0,2800.0,0.5601,0.3485,0.0453
ANDI,Andira Agro Tbk.,2018-08-16,9350000000.0,Pengembangan,Consumer Non-Cyclicals,50.0,467500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-08-16,2023-01-06,1.0,50.0,0.1252,0.4802,0.0081
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000.0,Utama,Consumer Non-Cyclicals,645.0,2163442875000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-05-08,2023-01-06,1.0,645.0,0.4311,-0.267,0.0352
ANTM,Aneka Tambang Tbk.,1997-11-27,24030764725.0,Utama,Basic Materials,1985.0,47701067979125.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1985.0,0.385,-0.2054,0.063
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,2796804997.0,Pengembangan,Energy,252.0,704794859244.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-06-05,2023-01-06,1.0,252.0,0.3468,0.4241,0.0463
APIC,Pacific Strategic Financial Tb,2002-12-18,11766313488.0,Pengembangan,Financials,1120.0,13178271106560.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-12-18,2023-01-06,1.0,1120.0,0.4039,0.3388,0.0786
APII,Arita Prima Indonesia Tbk.,2013-10-29,1075760000.0,Pengembangan,Industrials,199.0,214076240000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-10-29,2023-01-06,1.0,199.0,0.406,-0.2694,0.0789
APLI,Asiaplast Industries Tbk.,2000-05-01,1362671400.0,Utama,Basic Materials,260.0,354294564000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,260.0,0.4774,0.1723,0.0394
APLN,Agung Podomoro Land Tbk.,2010-11-11,22699326779.0,Utama,Properties & Real Estate,143.0,3246003729397.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-11-11,2023-01-06,1.0,143.0,0.0876,0.0457,0.0412
ARCI,Archi Indonesia Tbk.,2021-06-28,24835000000.0,Utama,Basic Materials,330.0,8195550000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-06-28 09:00:00,2023-01-06 15:00:00,2021-06-28,2023-01-06,1.0,330.0,0.1094,-0.0639,0.0276
ARGO,Argo Pantes Tbk,1991-01-07,335557450.0,Pengembangan,Consumer Cyclicals,1275.0,427835748750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1275.0,0.7903,0.4872,0.0655
ARII,Atlas Resources Tbk.,2011-11-08,3131000000.0,Pengembangan,Energy,264.0,826584000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-11-08,2023-01-06,1.0,264.0,0.7317,-0.0981,0.0601
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10,2000000000.0,Pengembangan,Industrials,50.0,100000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-07-10,2023-01-06,1.0,50.0,0.1544,0.0551,0.0362
ARKO,Arkora Hydro Tbk.,2022-07-08,2928495000.0,Pengembangan,Infrastructures,565.0,1654599675000.0,2022-07-08 09:00:00,2023-01-06 15:59:00,2022-07-08 09:00:00,2023-01-06 15:00:00,2022-07-08,2023-01-06,1.0,565.0,0.3428,0.4187,0.0345
ARMY,Armidian Karyatama Tbk.,2017-06-21,9006250000.0,Pengembangan,Properties & Real Estate,50.0,450312500000.0,,,,,2017-06-21,2023-01-06,1.0,50.0,0.3281,-0.1965,0.0611
ARNA,Arwana Citramulia Tbk.,2001-07-17,7341430976.0,Utama,Industrials,1000.0,7341430976000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-17,2023-01-06,1.0,1000.0,0.4219,-0.1716,0.0446
ARTA,Arthavest Tbk,2002-11-05,446674175.0,Pengembangan,Consumer Cyclicals,2090.0,933549025750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-11-05,2023-01-06,1.0,2090.0,0.5062,-0.1668,0.0248
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000.0,Utama,Energy,50.0,392000000000.0,2021-11-01 09:00:00,2021-12-03 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2003-04-30,2023-01-06,1.0,50.0,0.5657,0.1567,0.0146
ARTO,Bank Jago Tbk.,2016-01-12,13717687500.0,Pengembangan,Financials,3060.0,41976123750000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-01-12,2023-01-06,1.0,3060.0,0.0512,0.1404,0.0559
ASBI,Asuransi Bintang Tbk.,1989-11-29,348386472.0,Pengembangan,Financials,498.0,173496463056.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,498.0,0.5538,0.0406,0.05
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15,192000000.0,Utama,Financials,930.0,178560000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,930.0,0.619,-0.0876,0.0537
ASGR,Astra Graphia Tbk.,1989-11-15,1348780500.0,Utama,Industrials,930.0,1254365865000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,930.0,0.789,0.408,0.0638
ASHA,Cilacap Samudera Fishing Indus,2022-05-27,5000000000.0,Pengembangan,Consumer Non-Cyclicals,71.0,355000000000.0,2022-06-06 09:00:00,2023-01-06 15:59:00,2022-05-30 09:00:00,2023-01-06 15:00:00,2022-05-27,2023-01-06,1.0,71.0,0.452,0.3797,0.0425
ASII,Astra International Tbk.,1990-04-04,40483553140.0,Utama,Industrials,5450.0,220635364613000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,5450.0,0.4917,0.2428,0.0676
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23,1288890696.0,Pengembangan,Financials,125.0,161111337000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-12-23,2023-01-06,1.0,125.0,0.5257,0.3516,0.0305
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25,12746354780.0,Pengembangan,Consumer Cyclicals,111.0,1414845380580.0,2022-01-25 09:00:00,2023-01-06 15:59:00,2022-01-25 09:00:00,2023-01-06 15:00:00,2022-01-25,2023-01-06,1.0,111.0,0.8437,-0.0189,0.0609
ASMI,Asuransi Maximus Graha Persada,2014-01-16,8958380460.0,Utama,Financials,102.0,913754806920.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-01-16,2023-01-06,1.0,102.0,0.1897,0.1448,0.0797
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17,681794825.0,Pengembangan,Properties & Real Estate,90.0,61361534250.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-02-17,2023-01-06,1.0,90.0,0.5538,0.475,0.051
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888.0,Utama,Properties & Real Estate,153.0,3006360018864.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-12-18,2023-01-06,1.0,153.0,0.1567,0.0028,0.041
ASRM,Asuransi Ramayana Tbk.,1990-03-19,304283840.0,Pengembangan,Financials,1625.0,494461240000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1625.0,0.764,0.0849,0.0785
ASSA,Adi Sarana Armada Tbk.,2012-11-12,3565786162.0,Utama,Transportation & Logistic,730.0,2603023898260.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-11-12,2023-01-06,1.0,730.0,0.0609,0.146,0.076
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11,1250000000.0,Pengembangan,Properties & Real Estate,76.0,95000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-12-11 09:00:00,2023-01-06 15:00:00,2020-12-11,2023-01-06,1.0,76.0,0.2496,-0.2858,0.0682
ATIC,Anabatic Technologies Tbk.,2015-07-08,2315361355.0,Utama,Technology,386.0,893729483030.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-07-08,2023-01-06,1.0,386.0,0.6467,-0.1859,0.0429
AUTO,Astra Otoparts Tbk.,1998-06-15,4819733000.0,Utama,Consumer Cyclicals,1400.0,6747626200000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1400.0,0.8152,0.0298,0.0035
AVIA,Avia Avian Tbk.,2021-12-08,61953555600.0,Utama,Basic Materials,625.0,38720972250000.0,2021-12-08 09:00:00,2023-01-06 15:59:00,2021-12-08 09:00:00,2023-01-06 15:00:00,2021-12-08,2023-01-06,1.0,625.0,0.5306,0.1721,0.0365
AXIO,Tera Data Indonusa Tbk.,2022-07-20,5840126500.0,Pengembangan,Technology,236.0,1378269854000.0,2022-07-20 09:00:00,2023-01-06 15:59:00,2022-07-20 09:00:00,2023-01-06 15:00:00,2022-07-20,2023-01-06,1.0,236.0,0.1763,0.2363,0.0631
AYLS,Agro Yasa Lestari Tbk.,2020-02-12,853423236.0,Pengembangan,Basic Materials,86.0,73394398296.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-02-12,2023-01-06,1.0,86.0,0.2071,0.4295,0.0606
BABP,Bank MNC Internasional Tbk.,2002-07-15,31068563770.0,Pengembangan,Financials,98.0,3044719249460.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-07-15,2023-01-06,1.0,98.0,0.7557,-0.0868,0.0547
BACA,Bank Capital Indonesia Tbk.,2007-10-04,7007631839.0,Pengembangan,Financials,130.0,910992139070.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-10-04,2023-01-06,1.0,130.0,0.3962,0.1594,0.0114
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,1800000000.0,Pengembangan,Basic Materials,121.0,217800000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-12-21,2023-01-06,1.0,121.0,0.6204,0.0107,0.0442
BALI,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500.0,Utama,Infrastructures,790.0,3108328075000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-03-13,2023-01-06,1.0,790.0,0.3541,-0.2173,0.045
BANK,Bank Aladin Syariah Tbk.,2021-02-01,13134311698.0,Pengembangan,Financials,1325.0,17402962999850.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-02-01 09:00:00,2023-01-06 15:00:00,2021-02-01,2023-01-06,1.0,1325.0,0.6754,-0.0797,0.0669
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14,661784520.0,Utama,Properties & Real Estate,86.0,56913468720.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-01-14,2023-01-06,1.0,86.0,0.8058,0.2784,0.0162
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16,5591752986.0,Pengembangan,Properties & Real Estate,50.0,279587649300.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-09-16,2023-01-06,1.0,50.0,0.5118,0.158,0.0191
BATA,Sepatu Bata Tbk.,1982-03-24,1300000000.0,Utama,Consumer Cyclicals,540.0,702000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,540.0,0.3122,0.114,0.043
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800000000.0,Pengembangan,Consumer Cyclicals,50.0,240000000000.0,2022-01-28 09:00:00,2023-01-06 15:59:00,2022-01-28 09:00:00,2023-01-06 15:00:00,2022-01-28,2023-01-06,1.0,50.0,0.8176,-0.1261,0.0353
BAYU,Bayu Buana Tbk,1989-10-30,353220780.0,Pengembangan,Consumer Cyclicals,990.0,349688572200.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,990.0,0.2073,-0.252,0.0256
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500.0,Utama,Financials,8300.0,1012951085850000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,8300.0,0.2897,-0.0017,0.0261
BBHI,Allo Bank Indonesia Tbk.,2015-08-12,21512953877.0,Pengembangan,Financials,1695.0,36464456821515.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-08-12,2023-01-06,1.0,1695.0,0.2774,0.0616,0.0267
BBKP,Bank KB Bukopin Tbk.,2006-07-10,67019885160.0,Utama,Financials,114.0,7640266908240.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2006-07-10,2023-01-06,1.0,114.0,0.3351,0.3651,0.041
BBLD,Buana Finance Tbk.,1990-05-07,1645796054.0,Pengembangan,Financials,625.0,1028622533750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,625.0,0.3381,0.4036,0.0465
BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4049189100.0,Utama,Financials,2070.0,8381821437000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-07-08,2023-01-06,1.0,2070.0,0.1884,0.4211,0.0089
BBNI,Bank Negara Indonesia (Persero,1996-11-25,18462169893.0,Utama,Financials,8900.0,164313312047700.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,8900.0,0.55,-0.1297,0.0588
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587.0,Utama,Financials,4620.0,693200561531940.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-11-10,2023-01-06,1.0,4620.0,0.09,0.2844,0.059
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09,8479490328.0,Utama,Energy,57.0,483330948696.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-01-09,2023-01-06,1.0,57.0,0.5815,-0.0164,0.0579
BBSI,Bank Bisnis Internasional Tbk.,2020-09-07,3274178463.0,Pengembangan,Financials,3040.0,9953502527520.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-09-07 09:00:00,2023-01-06 15:00:00,2020-09-07,2023-01-06,1.0,3040.0,0.1771,-0.0563,0.0236
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020.0,Pengembangan,Properties & Real Estate,62.0,297600993240.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2022-04-18 09:00:00,2023-01-06 15:00:00,2020-04-15,2023-01-06,1.0,62.0,0.7934,0.0359,0.0296
