ID,Kode_Saham,Nama_Perusahaan,Harga_Saham,Return_Tahunan,Risiko,Volume_Transaksi,Market_Cap_Triliun,Dividend_Yield
60,GOTO,GoTo Gojek Tokopedia,4623,9.31,50.85,45701688,883.05,8.04
61,BBCA,Bank Central Asia,1939,38.24,28.51,39062717,866.32,3.98
62,BBRI,Bank Rakyat Indonesia,9824,13.9,70.57,21150528,393.32,14.76
63,BBRI,Bank Rakyat Indonesia,6361,39.47,22.11,3078729,638.2,0.03
64,ADRO,Adaro Energy,8871,27.78,89.62,49561762,603.9,5.46
65,BBRI,Bank Rakyat Indonesia,10932,40.64,61.08,44619179,763.37,10.8
66,ASII,Astra International,8358,7.01,41.76,27104632,627.79,8.32
67,TLKM,Telkom Indonesia,6938,26.57,39.12,11778777,554.35,4.51
68,MDKA,Merdeka Copper Gold,56,6.71,23.92,39022119,546.39,4.83
69,ANTM,Aneka Tambang,7294,27.16,51.01,49489536,153.55,1.27
70,MDKA,Merdeka Copper Gold,10926,24.81,35.17,15861764,605.84,3.37
71,TLKM,Telkom Indonesia,2464,-8.66,27.04,31985860,550.54,11.53
72,ANTM,Aneka Tambang,6840,38.74,56.81,48307378,627.02,7.42
73,TLKM,Telkom Indonesia,2467,26.08,5.5,7252952,700.8,3.28
74,GOTO,GoTo Gojek Tokopedia,11451,18.49,9.52,16823413,825.81,1.82
75,BMRI,Bank Mandiri,7662,26.72,93.91,40060128,286.25,11.33
76,ANTM,Aneka Tambang,10087,34.83,85.28,28738087,747.68,8.22
77,ADRO,Adaro Energy,2657,30.9,47.72,17494050,676.85,12.6
78,ASII,Astra International,8590,16.65,26.53,29619350,70.66,4.29
79,ASII,Astra International,5552,7.58,53.61,9386126,136.6,5.75
80,BMRI,Bank Mandiri,11623,1.77,42.34,22305074,488.81,6.24
81,TLKM,Telkom Indonesia,6933,11.42,74.28,46775757,18.56,13.21
82,PGAS,Perusahaan Gas Negara,6282,16.23,89.85,20139555,678.37,12.8
83,ACES,Ace Hardware Indonesia,6915,19.6,71.12,40583595,808.13,7.32
84,ASII,Astra International,7190,16.71,40.0,44987348,611.55,6.06
85,BMRI,Bank Mandiri,7707,40.57,93.26,35944430,25.24,5.91
86,PGAS,Perusahaan Gas Negara,10912,-8.51,62.85,9206638,780.3,2.73
87,ASII,Astra International,6261,8.0,45.92,22749278,685.35,5.69
88,GOTO,GoTo Gojek Tokopedia,6956,3.87,12.37,1400790,674.37,0.78
89,ICBP,Indofood CBP,3723,25.76,75.31,43838514,37.19,0.47
90,TLKM,Telkom Indonesia,3316,36.16,60.92,16108480,114.47,10.04
91,PGAS,Perusahaan Gas Negara,3621,15.58,28.06,24856136,151.84,9.11
92,CPIN,Charoen Pokphand,11819,-3.7,78.74,20973468,98.18,0.39
93,ASII,Astra International,9483,27.25,91.24,26719028,847.38,2.97
94,PGAS,Perusahaan Gas Negara,11365,35.68,26.86,46887830,695.46,12.75
95,PGAS,Perusahaan Gas Negara,2033,33.79,55.93,2856102,313.14,6.43
96,ICBP,Indofood CBP,1179,17.83,35.71,28289664,740.28,1.58
97,ICBP,Indofood CBP,10463,39.04,46.38,10367062,392.5,11.01
98,INDF,Indofood Sukses Makmur,4475,23.88,87.77,32546968,418.92,12.39
99,PGAS,Perusahaan Gas Negara,4447,7.73,27.09,5915848,251.76,6.76
100,GOTO,GoTo Gojek Tokopedia,7663,21.34,65.14,22675195,26.8,12.76
101,BMRI,Bank Mandiri,8038,1.67,76.8,22939753,252.41,8.94
102,ADRO,Adaro Energy,4576,20.57,51.5,12921579,77.97,10.8
103,ANTM,Aneka Tambang,9146,31.7,67.15,43445809,640.95,6.72
104,BBCA,Bank Central Asia,1574,6.18,41.4,16427933,276.28,8.72
105,ANTM,Aneka Tambang,9118,19.2,43.3,37035945,298.38,10.54
106,ASII,Astra International,5073,3.83,15.86,13024113,284.68,11.14
107,GOTO,GoTo Gojek Tokopedia,11357,0.18,24.47,32594017,249.57,8.84
108,GOTO,GoTo Gojek Tokopedia,8645,22.82,93.25,13127010,267.33,5.41
109,ASII,Astra International,281,28.94,16.39,3154506,876.89,8.3
110,CPIN,Charoen Pokphand,2118,25.08,72.75,6984540,785.58,8.61
111,ANTM,Aneka Tambang,7893,14.23,21.59,3547833,227.98,12.93
112,BBRI,Bank Rakyat Indonesia,1120,12.04,11.67,42341386,618.12,2.28
113,GOTO,GoTo Gojek Tokopedia,9271,42.2,12.67,16755813,107.49,11.47
114,PGAS,Perusahaan Gas Negara,9816,33.49,25.31,35169249,342.96,13.63
115,ASII,Astra International,9692,44.45,32.48,41776438,55.15,14.4
116,BBRI,Bank Rakyat Indonesia,3454,24.4,28.82,5548398,142.19,2.61
117,BBRI,Bank Rakyat Indonesia,2614,-9.85,45.55,39949994,423.45,0.49
118,ASII,Astra International,11632,5.55,82.36,4876792,618.96,13.86
119,GOTO,GoTo Gojek Tokopedia,10290,22.44,77.35,13375422,383.2,8.17
120,INDF,Indofood Sukses Makmur,2491,39.96,79.4,4892233,54.61,11.89
121,PGAS,Perusahaan Gas Negara,9375,40.67,44.52,31553788,620.12,10.5
122,ASII,Astra International,8249,19.7,44.4,40233561,36.83,6.48
123,ICBP,Indofood CBP,9941,3.77,13.22,45351397,752.53,8.63
124,BBCA,Bank Central Asia,11064,35.18,56.86,11856850,423.98,9.77
125,ADRO,Adaro Energy,4607,-0.02,57.68,42699681,733.01,14.54
126,ANTM,Aneka Tambang,5750,12.46,33.9,7119579,772.1,4.95
127,CPIN,Charoen Pokphand,8167,5.85,90.07,37016358,33.99,1.32
128,ASII,Astra International,5346,-3.62,74.53,34633969,742.61,0.02
129,ACES,Ace Hardware Indonesia,8939,15.41,9.88,34891878,326.24,11.35
130,INDF,Indofood Sukses Makmur,7292,31.8,23.32,36957506,118.78,4.32
131,ADRO,Adaro Energy,11490,16.66,7.6,42380079,548.38,3.59
132,BMRI,Bank Mandiri,5141,20.3,54.7,6355163,203.01,12.62
133,BBRI,Bank Rakyat Indonesia,7610,42.09,63.29,10432827,449.04,10.75
134,MDKA,Merdeka Copper Gold,11607,5.04,80.13,31790133,220.11,8.27
135,UNVR,Unilever Indonesia,3172,40.7,50.74,9260919,777.76,4.14
136,GOTO,GoTo Gojek Tokopedia,6848,8.69,75.89,18029653,738.67,4.24
137,ASII,Astra International,9666,21.9,64.39,10072069,402.45,7.27
138,ICBP,Indofood CBP,9092,31.96,38.95,21694112,782.77,14.71
139,TLKM,Telkom Indonesia,9418,11.06,82.04,27666650,40.24,11.17
140,CPIN,Charoen Pokphand,6296,11.23,64.73,43856254,882.76,7.43
141,BBCA,Bank Central Asia,2118,17.63,58.12,6835354,786.9,6.6
142,MDKA,Merdeka Copper Gold,7536,-9.16,17.97,44041630,872.99,1.12
143,GOTO,GoTo Gojek Tokopedia,4392,8.62,67.34,43709799,73.2,4.93
144,INDF,Indofood Sukses Makmur,8792,10.9,33.5,48332309,798.81,7.32
145,MDKA,Merdeka Copper Gold,638,23.96,26.13,46029277,828.92,14.96
146,CPIN,Charoen Pokphand,1530,13.87,13.86,42630096,633.8,1.51
147,BMRI,Bank Mandiri,11420,6.47,7.61,21868415,716.73,4.4
148,ICBP,Indofood CBP,7106,-1.99,52.8,38078789,613.94,2.7
149,BMRI,Bank Mandiri,1343,23.52,39.43,45944385,217.51,13.69
150,BMRI,Bank Mandiri,3854,15.36,27.86,17234685,600.49,13.48
151,ANTM,Aneka Tambang,4762,27.27,19.22,29743983,850.77,14.81
152,ASII,Astra International,10518,42.91,67.13,30757732,760.93,2.99
153,UNVR,Unilever Indonesia,7966,-4.13,39.32,24189341,517.76,14.89
154,ASII,Astra International,409,43.79,64.24,18520066,8.28,12.98
155,GOTO,GoTo Gojek Tokopedia,853,40.08,72.07,19306164,698.39,3.45
156,GOTO,GoTo Gojek Tokopedia,5822,2.05,22.11,16919279,610.31,10.81
157,INDF,Indofood Sukses Makmur,11205,36.11,61.54,42208000,582.06,4.63
158,ANTM,Aneka Tambang,596,21.88,70.91,6148748,818.76,4.9
159,UNVR,Unilever Indonesia,2927,1.04,75.79,24652283,478.24,13.7
160,ACES,Ace Hardware Indonesia,2745,4.13,79.22,32436260,870.68,4.43
161,ACES,Ace Hardware Indonesia,5599,34.23,47.15,5153254,127.54,14.5
162,ACES,Ace Hardware Indonesia,11130,29.83,93.19,37500616,329.83,11.86
163,BBCA,Bank Central Asia,4382,19.51,45.93,45252748,674.36,3.93
164,UNVR,Unilever Indonesia,10511,41.72,14.75,15791522,424.86,9.29
165,MDKA,Merdeka Copper Gold,5424,40.34,24.92,4342423,572.23,6.96
166,CPIN,Charoen Pokphand,5001,25.71,15.5,3143172,851.69,4.57
167,ANTM,Aneka Tambang,1952,-4.65,84.85,9204260,350.39,5.57
168,CPIN,Charoen Pokphand,11461,42.03,42.72,49912830,654.21,13.28
169,INDF,Indofood Sukses Makmur,1672,35.85,60.41,18873043,30.41,5.56
170,ANTM,Aneka Tambang,7335,42.28,81.99,6767575,882.85,5.51
171,ADRO,Adaro Energy,10614,9.73,40.83,12837836,871.42,14.24
172,ACES,Ace Hardware Indonesia,7500,-4.96,24.09,43015643,537.83,0.32
173,GOTO,GoTo Gojek Tokopedia,5514,3.4,16.33,37988186,185.48,12.45
174,MDKA,Merdeka Copper Gold,3444,22.25,78.17,15736276,296.38,2.21
175,ADRO,Adaro Energy,9814,-9.84,82.26,9809845,888.79,8.1
176,GOTO,GoTo Gojek Tokopedia,2908,-3.95,82.98,8945165,14.36,11.85
177,TLKM,Telkom Indonesia,9697,7.81,20.68,3616438,114.96,6.31
178,BBRI,Bank Rakyat Indonesia,1091,16.19,75.02,34542816,534.71,6.78
179,TLKM,Telkom Indonesia,10127,-7.61,75.49,44318236,469.78,6.87
180,BBCA,Bank Central Asia,1046,44.92,81.26,28706738,617.8,7.35
181,ADRO,Adaro Energy,7317,-5.96,12.27,40922149,134.35,1.89
182,PGAS,Perusahaan Gas Negara,10422,22.2,69.09,25662061,895.17,7.96
183,ANTM,Aneka Tambang,8332,23.3,13.93,47195619,103.86,9.82
184,ADRO,Adaro Energy,9083,29.65,24.35,30403337,799.39,6.21
185,ACES,Ace Hardware Indonesia,7480,11.93,70.67,21074764,384.66,9.98
186,ICBP,Indofood CBP,2550,27.78,47.68,6221991,748.76,1.4
187,BBRI,Bank Rakyat Indonesia,6155,34.65,55.07,39457005,861.01,8.43
188,INDF,Indofood Sukses Makmur,2052,12.59,83.62,28482811,781.41,10.82
189,ASII,Astra International,9887,7.18,14.32,34151879,192.25,9.85
190,TLKM,Telkom Indonesia,1823,9.26,55.06,7809822,686.58,8.61
191,GOTO,GoTo Gojek Tokopedia,7080,36.48,92.71,41823178,552.6,9.64
192,BBCA,Bank Central Asia,10027,41.1,79.65,18048113,27.03,4.1
193,GOTO,GoTo Gojek Tokopedia,5112,40.68,36.59,12273920,783.01,8.49
194,UNVR,Unilever Indonesia,1190,-2.2,61.99,2157363,83.49,7.96
195,UNVR,Unilever Indonesia,6928,14.95,19.17,21013629,649.71,11.65
196,PGAS,Perusahaan Gas Negara,9818,-5.33,9.73,10663599,679.24,0.75
197,BBRI,Bank Rakyat Indonesia,4508,14.37,43.16,40840181,398.4,4.1
198,GOTO,GoTo Gojek Tokopedia,8444,-3.74,43.69,19108348,610.72,8.9
199,MDKA,Merdeka Copper Gold,10980,6.96,24.85,40320017,50.25,3.07
200,TLKM,Telkom Indonesia,2298,32.03,31.05,8152013,7.95,11.21
201,BMRI,Bank Mandiri,2166,10.91,68.33,33672037,503.29,10.02
202,ICBP,Indofood CBP,1230,11.84,71.78,29374201,17.85,13.82
203,ACES,Ace Hardware Indonesia,5179,21.67,56.61,47713669,576.49,4.34
204,UNVR,Unilever Indonesia,391,43.14,20.47,41581684,414.63,10.34
205,ICBP,Indofood CBP,1493,14.02,14.53,29337756,530.4,7.86
206,UNVR,Unilever Indonesia,5133,31.02,24.94,11383195,69.67,9.5
207,MDKA,Merdeka Copper Gold,8405,0.66,74.86,23661904,654.91,12.28
208,ACES,Ace Hardware Indonesia,2469,2.99,18.18,13338686,156.98,2.29
209,GOTO,GoTo Gojek Tokopedia,10789,-5.86,90.62,42240928,445.21,11.32
210,GOTO,GoTo Gojek Tokopedia,9544,14.69,88.17,37982402,579.05,14.8
211,ICBP,Indofood CBP,10326,7.39,44.58,31568761,398.55,4.54
212,ASII,Astra International,9739,-6.91,50.66,20931118,416.11,0.56
213,ICBP,Indofood CBP,4753,-5.78,82.78,6159695,553.89,7.61
214,ANTM,Aneka Tambang,9558,20.49,76.26,2852987,405.31,12.15
215,INDF,Indofood Sukses Makmur,3134,7.68,47.81,10224115,861.99,6.76
216,GOTO,GoTo Gojek Tokopedia,5676,44.03,12.59,43460855,156.13,3.72
217,ANTM,Aneka Tambang,7249,18.82,59.88,24520778,336.19,4.24
218,UNVR,Unilever Indonesia,5593,27.34,9.71,42438081,582.93,0.99
219,BBRI,Bank Rakyat Indonesia,9191,27.31,30.57,48668943,766.56,14.47
220,PGAS,Perusahaan Gas Negara,2513,8.33,57.45,9591097,825.16,4.65
221,INDF,Indofood Sukses Makmur,11493,26.42,16.61,47669045,844.26,4.64
222,UNVR,Unilever Indonesia,10592,33.54,78.19,45070750,632.84,14.21
223,INDF,Indofood Sukses Makmur,8674,-4.86,65.34,34224084,326.28,5.44
224,BMRI,Bank Mandiri,3559,8.8,73.95,12985253,204.66,2.06
225,BBRI,Bank Rakyat Indonesia,4896,36.44,14.1,36323402,751.77,13.26
226,BBCA,Bank Central Asia,10895,8.52,73.97,8894552,537.92,2.31
227,BMRI,Bank Mandiri,11401,32.41,77.81,11209145,649.34,0.66
228,ICBP,Indofood CBP,11131,29.58,92.26,41076365,257.15,11.23
229,ANTM,Aneka Tambang,3883,19.37,32.85,31575104,813.67,2.91
230,INDF,Indofood Sukses Makmur,9395,44.14,46.55,19009380,700.53,7.54
231,UNVR,Unilever Indonesia,2705,34.93,77.11,9387768,785.83,0.78
232,ANTM,Aneka Tambang,6131,20.5,14.23,34722092,766.2,4.28
233,GOTO,GoTo Gojek Tokopedia,2676,5.0,86.48,9988400,748.11,1.38
234,ADRO,Adaro Energy,3687,34.92,84.62,1889806,373.99,5.95
235,ICBP,Indofood CBP,3912,11.24,12.34,15168541,26.34,13.96
236,ACES,Ace Hardware Indonesia,11759,25.75,76.22,9334152,35.43,13.76
237,ANTM,Aneka Tambang,11454,35.71,73.3,31581447,404.29,0.08
238,BBRI,Bank Rakyat Indonesia,361,4.08,80.15,36929629,846.26,9.13
239,UNVR,Unilever Indonesia,1871,32.69,26.39,8277104,43.93,6.3
240,GOTO,GoTo Gojek Tokopedia,10254,15.14,14.98,33642971,537.47,0.25
241,MDKA,Merdeka Copper Gold,9471,3.31,17.92,28905734,2.41,5.29
242,PGAS,Perusahaan Gas Negara,6875,0.3,65.14,35230453,877.21,1.02
243,MDKA,Merdeka Copper Gold,8964,17.9,93.95,37288508,19.28,13.1
244,BBCA,Bank Central Asia,10464,11.28,38.6,1189997,322.03,1.01
245,TLKM,Telkom Indonesia,10815,24.55,74.44,49437563,681.25,2.0
246,ICBP,Indofood CBP,8995,8.62,62.85,46048269,418.7,10.43
247,INDF,Indofood Sukses Makmur,3036,34.63,10.68,30814356,34.25,3.02
248,GOTO,GoTo Gojek Tokopedia,3318,38.72,33.4,20908840,464.33,14.84
249,MDKA,Merdeka Copper Gold,7806,3.93,72.8,12924734,258.21,12.93
250,BBCA,Bank Central Asia,10793,8.26,16.2,24797348,393.82,6.0
251,ANTM,Aneka Tambang,6384,8.65,21.81,46543930,448.27,13.86
252,MDKA,Merdeka Copper Gold,4419,34.06,70.44,5396701,388.12,14.93
253,BMRI,Bank Mandiri,8987,6.16,14.23,22106332,595.17,4.6
254,PGAS,Perusahaan Gas Negara,11808,13.44,67.08,23691918,402.97,10.9
255,ADRO,Adaro Energy,5826,23.82,44.14,43014058,882.04,14.22
256,BBRI,Bank Rakyat Indonesia,11046,25.06,37.7,45694474,144.83,0.47
257,ACES,Ace Hardware Indonesia,10004,27.29,44.44,8571153,61.44,11.68
258,ICBP,Indofood CBP,5983,11.06,56.05,40707226,138.94,6.75
259,ICBP,Indofood CBP,6145,14.42,11.92,9340562,476.98,5.97
260,INDF,Indofood Sukses Makmur,4616,3.73,15.21,49470304,168.26,7.77
261,ADRO,Adaro Energy,9252,-3.52,74.75,47347177,402.2,14.95
262,ASII,Astra International,11420,40.41,49.21,8330058,123.02,1.11
263,BMRI,Bank Mandiri,11737,14.48,12.9,45863497,870.84,14.8
264,INDF,Indofood Sukses Makmur,5742,29.02,54.5,19585882,802.31,12.77
265,CPIN,Charoen Pokphand,11675,41.0,62.39,24359329,458.37,1.82
266,TLKM,Telkom Indonesia,2325,3.02,49.46,24319355,499.07,5.53
267,GOTO,GoTo Gojek Tokopedia,9088,-2.86,84.58,4512280,279.05,14.99
268,CPIN,Charoen Pokphand,7892,18.91,74.22,38680920,67.3,14.59
269,INDF,Indofood Sukses Makmur,1265,14.75,66.21,23219995,116.37,12.44
270,MDKA,Merdeka Copper Gold,10532,22.33,74.1,8759255,389.92,13.66
271,BBCA,Bank Central Asia,2084,18.5,32.37,10969418,291.07,10.64
272,ICBP,Indofood CBP,8551,39.22,81.13,16917837,177.48,14.35
273,ASII,Astra International,2100,24.38,60.3,6369874,452.81,2.53
274,PGAS,Perusahaan Gas Negara,2576,-0.58,61.2,40710184,304.52,13.86
275,BBCA,Bank Central Asia,514,-5.53,90.37,38806462,238.93,3.16
276,PGAS,Perusahaan Gas Negara,6875,24.0,7.73,42188264,491.47,9.63
277,ASII,Astra International,7962,3.47,77.66,27352408,268.39,1.09
278,BBCA,Bank Central Asia,2639,14.18,48.58,13791752,306.83,2.16
279,ACES,Ace Hardware Indonesia,11819,7.56,93.92,23277425,877.86,1.96
280,ICBP,Indofood CBP,8487,20.89,33.72,31404444,111.15,6.74
281,BMRI,Bank Mandiri,1636,-7.22,90.08,41397281,376.9,14.44
282,ADRO,Adaro Energy,2666,34.74,89.04,48494109,282.13,11.45
283,ANTM,Aneka Tambang,8483,15.67,84.12,33477954,21.84,14.18
284,MDKA,Merdeka Copper Gold,7541,43.17,24.36,23782388,44.74,4.22
285,PGAS,Perusahaan Gas Negara,10769,26.99,30.72,648776,762.61,6.46
286,ADRO,Adaro Energy,4383,30.01,73.75,24657640,41.67,0.77
287,MDKA,Merdeka Copper Gold,3239,9.94,30.97,26027430,454.33,11.47
288,ASII,Astra International,10261,27.42,15.69,6588184,355.12,11.92
289,ICBP,Indofood CBP,9189,41.64,72.95,13458548,542.61,6.02
290,BBCA,Bank Central Asia,792,-7.86,69.22,31892431,467.88,2.23
291,ADRO,Adaro Energy,8496,-2.31,88.82,21476188,147.09,14.86
292,CPIN,Charoen Pokphand,4952,22.65,50.66,34306334,479.57,10.63
293,ASII,Astra International,7830,34.87,38.15,45318381,99.53,6.25
294,ASII,Astra International,11933,37.97,61.63,40157926,427.66,14.51
295,GOTO,GoTo Gojek Tokopedia,9527,21.77,69.93,39259584,432.92,7.86
296,CPIN,Charoen Pokphand,10203,32.6,39.22,45782808,218.73,8.59
297,CPIN,Charoen Pokphand,1850,0.49,44.69,28203870,137.14,10.36
298,UNVR,Unilever Indonesia,8271,32.62,87.85,49481203,654.93,10.59
299,MDKA,Merdeka Copper Gold,3447,20.85,94.83,32202933,473.4,4.71
300,BMRI,Bank Mandiri,7581,40.17,35.81,23875797,608.61,13.01
